"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
25 May 2012 00:00:00.000,6123.226382,-2799.605966,2030.222245,1.509738,-1.894738,-7.130677
25 May 2012 00:01:00.000,6201.109963,-2907.433903,1598.474875,1.085502,-1.698287,-7.255921
25 May 2012 00:02:00.000,6253.396954,-3003.260689,1160.111787,0.656816,-1.494840,-7.351126
25 May 2012 00:03:00.000,6279.873859,-3086.691896,716.947689,0.225466,-1.285246,-7.415901
25 May 2012 00:04:00.000,6280.434856,-3157.384873,270.816951,-0.206748,-1.070381,-7.449982
25 May 2012 00:05:00.000,6255.082210,-3215.050188,-176.434228,-0.638022,-0.851142,-7.453238
25 May 2012 00:06:00.000,6203.926211,-3259.452829,-622.955698,-1.066562,-0.628446,-7.425670
25 May 2012 00:07:00.000,6127.184602,-3290.413159,-1066.901251,-1.490581,-0.403221,-7.367408
25 May 2012 00:08:00.000,6025.181537,-3307.807613,-1506.436481,-1.908320,-0.176407,-7.278714
25 May 2012 00:09:00.000,5898.346051,-3311.569141,-1939.746558,-2.318044,0.051053,-7.159978
25 May 2012 00:10:00.000,5747.210063,-3301.687394,-2365.043894,-2.718058,0.278212,-7.011718
25 May 2012 00:11:00.000,5572.405930,-3278.208657,-2780.575651,-3.106712,0.504129,-6.834575
25 May 2012 00:12:00.000,5374.663568,-3241.235529,-3184.631054,-3.482405,0.727870,-6.629308
25 May 2012 00:13:00.000,5154.807157,-3190.926358,-3575.548476,-3.843596,0.948512,-6.396796
25 May 2012 00:14:00.000,4913.751454,-3127.494431,-3951.722267,-4.188807,1.165146,-6.138025
25 May 2012 00:15:00.000,4652.497744,-3051.206944,-4311.609288,-4.516634,1.376884,-5.854092
25 May 2012 00:16:00.000,4372.129452,-2962.383736,-4653.735139,-4.825744,1.582860,-5.546192
25 May 2012 00:17:00.000,4073.807438,-2861.395820,-4976.700039,-5.114888,1.782236,-5.215614
25 May 2012 00:18:00.000,3758.765009,-2748.663712,-5279.184360,-5.382902,1.974200,-4.863741
25 May 2012 00:19:00.000,3428.302678,-2624.655565,-5559.953782,-5.628711,2.157976,-4.492033
25 May 2012 00:20:00.000,3083.782688,-2489.885134,-5817.864067,-5.851332,2.332821,-4.102031
25 May 2012 00:21:00.000,2726.623339,-2344.909569,-6051.865432,-6.049880,2.498031,-3.695343
25 May 2012 00:22:00.000,2358.293133,-2190.327060,-6261.006524,-6.223568,2.652943,-3.273640
